"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://irishealing.com/","text/html; charset=UTF-8","200","OK","Indexable","","Iris Healing - Los Angeles Rehab & Addiction Treatment","54","492","Premier California Addiction Treatment","38","241","","0","Addiction Treatment Center in Woodland Hills","44","","0","Most PPO & HMO Insurance Plans Accepted","39","Holistic, Luxury, Drug & Alcohol Rehab in Los Angeles","53","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://irishealing.com/","","","","","","338483","65354","65354","25.036","","1792","379","4.728","56.771","Fairly Hard","4.348","0","0","","2388","473","0","100.000","336","78","0","24","16","0","","","","","768ae620436189e08e2450e9b9737b79","0.210","Sat, 20 Dec 2025 00:01:51 GMT","","","","en-US","1.1","","","","","","https://irishealing.com/","2026-03-11 21:10:12"
"https://irishealing.com/wp-content/themes/boliin/assets/js/jquery.cookie.js?ver=6.9.1","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.065","Sat, 24 Aug 2024 15:23:53 GMT","","","","","1.1","","","","","","https://irishealing.com/wp-content/themes/boliin/assets/js/jquery.cookie.js?ver=6.9.1","2026-03-11 21:10:13"
"https://irishealing.com/wp-content/themes/boliin/assets/js/magnific/magnific-popup.css?ver=6.9.1","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.149","Sat, 24 Aug 2024 15:23:53 GMT","","","","","1.1","","","","","","https://irishealing.com/wp-content/themes/boliin/assets/js/magnific/magnific-popup.css?ver=6.9.1","2026-03-11 21:10:13"
"https://irishealing.com/wp-content/uploads/2023/01/IRIS_optimized.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4718","4718","4718","1.807","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.240","Thu, 29 Aug 2024 12:54:53 GMT","","","","","1.1","","","","","","https://irishealing.com/wp-content/uploads/2023/01/IRIS_optimized.webp","2026-03-11 21:10:13"
"https://irishealing.com/drug-rehab-in-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable","","Drug Rehab in Los Angeles | Iris Healing®","41","369","Iris Healing offers Drug Rehab in Los Angeles, CA. Start your recovery journey today by calling 844-663-4747.","109","670","","0","Top Drug Rehab in Los Angeles","29","","0","Drug Rehab in Los Angeles","25","24/7 Drug Rehab in Los Angeles – Reclaim Your Life in the City of Angels","72","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://irishealing.com/drug-rehab-in-los-angeles/","","","","","","277764","61766","61766","23.661","","2538","417","6.086","57.524","Fairly Hard","6.887","1","1","","1896","473","0","100.000","280","66","0","22","14","0","","","","","e5e665d85ff43bb85a6547fb8b6c42d0","0.309","Wed, 03 Sep 2025 21:28:36 GMT","","","","en-US","1.1","","","","","","https://irishealing.com/drug-rehab-in-los-angeles/","2026-03-11 21:10:13"
"https://irishealing.com/mental-health-treatment-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable","","Mental Health Treatment Centers in Los Angeles | Iris Rehab","59","539","Our mental health treatment centers in Los Angeles provides proven and holistic treatment for long-term success. Call Iris Healing at 844-663-4747.","147","908","","0","How Do We Treat Mental Illness?","31","","0","Mental Health Treatment Centers in Los Angeles, CA","50","What Is Mental Health Treatment?","32","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://irishealing.com/mental-health-treatment-los-angeles/","","","","","","253568","57966","57966","22.206","","1898","341","5.566","45.224","Hard","6.270","1","1","","2040","473","0","100.000","307","80","0","23","15","0","","","","","7c88ccc7c9e7830819231d5fdad7a0f5","0.332","Wed, 28 Jan 2026 19:14:57 GMT","","","","en-US","1.1","","","","","","https://irishealing.com/mental-health-treatment-los-angeles/","2026-03-11 21:10:13"
"https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable","","Drug Rehab in Los Angeles, CA | Iris Healing®","45","404","At Iris Healing Retreat, our drug rehab in Los Angeles offers long-term healing with sustainable and holistic approaches. Call 844-663-4747 today.","146","896","","0","Trusted Drug Rehab Services in Los Angeles at Iris Healing","58","","0","Drug Rehab in Los Angeles","25","What is Drug Rehab?","19","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","","","","","","293234","61919","61919","23.720","","2071","358","5.785","47.286","Hard","5.704","1","2","","1903","473","0","100.000","278","66","0","23","15","0","","","","","a8886d1206e43f647bfdbfd9a929f4c7","0.316","Sun, 26 Jan 2025 17:15:01 GMT","","","","en-US","1.1","","","","","","https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/","2026-03-11 21:10:13"
"https://irishealing.com/therapy/","text/html; charset=UTF-8","200","OK","Indexable","","Addiction Therapy in Los Angeles - Iris Healing®","48","428","Iris Healing offers comprehensive addiction therapy in Los Angeles. Call 844-663-4747 to learn more about our individualized programs.","134","835","","0","","0","","0","Therapies","9","LEARN MORE ABOUT OUR TREATMENTS—CALL NOW","40","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://irishealing.com/therapy/","","","","","","236396","54756","54756","20.976","","1305","246","5.305","60.256","Normal","4.721","1","1","","1913","473","0","100.000","277","69","0","22","14","0","","","","","bfe5b9b0adac3c1f3e62972c3f155c0d","0.105","Tue, 11 Mar 2025 00:03:15 GMT","","","","en-US","1.1","","","","","","https://irishealing.com/therapy/","2026-03-11 21:10:13"
"https://irishealing.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.172","Thu, 06 Feb 2025 17:27:26 GMT","","","","","1.1","","","","","","https://irishealing.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3","2026-03-11 21:10:14"
"https://irishealing.com/wp-content/themes/boliin/assets/js/magnific/jquery.magnific-popup.min.js?ver=6.9.1","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.193","Sat, 24 Aug 2024 15:23:53 GMT","","","","","1.1","","","","","","https://irishealing.com/wp-content/themes/boliin/assets/js/magnific/jquery.magnific-popup.min.js?ver=6.9.1","2026-03-11 21:10:14"
