"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.jointcommission.org/","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","954","0.050","",""
"https://www.psychologytoday.com/us/treatment-rehab/iris-healing-retreat-woodland-hills-ca/337368","text/html; charset=iso-8859-1","403","Forbidden","Non-Indexable","Client Error","477","0.454","",""
"https://dss.sd.gov/formsandpubs/docs/BH/BHAO10_MAT_Brochure.pdf","text/html","404","Not Found","Non-Indexable","Client Error","1","0.288","",""
"https://www.sciencedirect.com/science/article/abs/pii/S0740547218300552","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.263","",""
"https://www.tandfonline.com/doi/full/10.1080/00952990.2023.2245123","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.051","",""
"http://www.statimllc.com/","text/html","404","Not Found","Non-Indexable","Client Error","0","0.090","",""
"https://www.foundationsevents.com/","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.114","",""
"https://news.va.gov/49058/veterans-ptsd-treated-transcranial-magnetic-stimulation/","text/html","429","Too Many Requests","Non-Indexable","Client Error","2","0.049","",""
"https://www.dol.gov/general/topic/health-plans/mhpaea","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","3","2.544","",""
"https://www.kff.org/other/state-indicator/opioid-overdose-deaths-by-raceethnicity/?dataView=1&currentTimeframe=0&selectedDistributions=white-non-hispanic--black-non-hispanic--hispanic&selectedRows={""wrapups"":{""united-states"":{}}}&sortModel={""colId"":""Location"",""sort"":""asc""}","text/html","429","Too Many Requests","Non-Indexable","Client Error","2","0.040","",""
"https://www.tandfonline.com/doi/abs/10.1081/ADA-200056807","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","2","0.151","",""
"https://adaa.org/about-adaa/press-room/facts-statistics","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","4","0.042","",""
"https://www.tandfonline.com/doi/abs/10.1300/J184v06n04_05","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.240","",""
"http://neuroci.com/wp-content/uploads/2013/10/ABSP-JournalHammond1.pdf","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0.471","",""
